TBF; 186755; 369; 99980,92; 1,25; 0,39; 0,10; -0,92; 0,55; 0,92; 2,03; 162,83; -9,30; -499,00
TBF; 187259; 370; 99981,29; 1,25; 0,39; 0,10; -0,90; -1,59; 2,34; 2,37; 162,68; -9,15; -498,25
TBF; 187764; 371; 99981,58; 1,25; 0,39; 0,10; -0,91; 0,46; -0,50; -3,34; 163,13; -7,50; -499,00
TBF; 188269; 372; 99980,81; 1,38; 0,39; 0,10; -0,92; -0,43; 1,71; -3,59; 162,38; -8,85; -499,45
TBF; 188773; 373; 99980,10; 1,25; 0,39; 0,10; -0,92; 0,03; 0,31; 2,03; 162,68; -9,75; -498,55
TBF; 189278; 374; 99979,46; 1,38; 0,39; 0,10; -0,92; 0,00; -1,30; -4,87; 161,93; -9,30; -498,40
TBF; 189782; 375; 99980,66; 1,38; 0,39; 0,10; -0,90; 1,88; 3,48; -3,59; 161,48; -9,15; -498,55
TBF; 190287; 376; 99985,86; 1,25; 0,39; 0,10; -0,91; -1,05; 2,50; 2,46; 162,08; -9,15; -498,55
TBF; 190791; 377; 99980,81; 1,25; 0,39; 0,10; -0,91; 1,62; -1,30; -1,47; 162,83; -9,90; -498,10
TBF; 191296; 378; 99981,18; 1,25; 0,39; 0,10; -0,91; -0,32; -1,91; -2,75; 161,63; -10,20; -498,70
TBF; 191800; 379; 99980,52; 1,25; 0,39; 0,11; -0,91; 0,02; 1,08; 3,30; 162,08; -9,15; -498,85
TBF; 192305; 380; 99978,87; 1,25; 0,39; 0,10; -0,91; 0,81; 0,64; -2,32; 161,93; -9,90; -499,30
TBF; 192809; 381; 99980,53; 1,25; 0,39; 0,10; -0,91; -1,95; -2,55; -3,34; 161,48; -8,85; -500,05
TBF; 193314; 382; 99980,03; 1,25; 0,39; 0,10; -0,91; -2,06; -0,52; 4,67; 162,98; -8,85; -499,15
TBF; 193818; 383; 99981,50; 1,25; 0,39; 0,10; -0,91; 0,44; 3,13; -0,70; 161,48; -8,55; -498,85
TBF; 194323; 384; 99978,62; 1,25; 0,39; 0,10; -0,91; -1,42; 2,43; -1,73; 161,18; -8,55; -499,45
TBF; 194827; 385; 99980,62; 1,25; 0,39; 0,11; -0,92; -2,21; -0,34; -4,02; 161,78; -8,85; -498,85
TBF; 195332; 386; 99979,50; 1,25; 0,39; 0,10; -0,91; -0,06; -2,20; -5,13; 162,53; -9,60; -499,00
TBF; 195837; 387; 99980,39; 1,25; 0,39; 0,10; -0,91; 1,08; 3,04; 2,79; 163,13; -9,30; -498,70
TBF; 196341; 388; 99981,11; 1,25; 0,39; 0,11; -0,91; -2,92; -0,60; -3,51; 162,08; -9,75; -498,85
TBF; 196846; 389; 99977,68; 1,25; 0,39; 0,10; -0,91; 0,27; -0,34; -6,58; 161,93; -8,40; -499,90
TBF; 197350; 390; 99981,44; 1,25; 0,40; 0,10; -0,91; 0,53; 2,69; 8,58; 161,48; -9,15; -498,25
TBF; 197855; 391; 99979,15; 1,25; 0,39; 0,10; -0,92; 0,34; -0,08; -5,47; 161,48; -9,45; -499,15
TBF; 198359; 392; 99977,54; 1,25; 0,39; 0,10; -0,91; -0,60; -1,39; -3,34; 161,63; -9,90; -499,00
TBF; 198864; 393; 99976,41; 1,25; 0,39; 0,11; -0,91; -0,44; 1,36; 5,27; 161,78; -8,55; -498,25
TBF; 199368; 394; 99978,38; 1,25; 0,39; 0,10; -0,91; 1,95; -0,60; -0,95; 161,18; -9,15; -499,75
TBF; 199873; 395; 99981,34; 1,25; 0,39; 0,10; -0,91; 1,15; 0,12; 1,51; 162,53; -10,20; -500,20
TBF; 200377; 396; 99979,11; 1,25; 0,39; 0,10; -0,91; -2,67; 2,87; 0,92; 161,78; -8,85; -497,65
TBF; 200882; 397; 99981,59; 1,25; 0,39; 0,10; -0,91; -0,98; 2,60; 0,84; 162,68; -10,35; -498,25
TBF; 201386; 398; 99974,96; 1,25; 0,39; 0,10; -0,91; -0,82; 2,14; 2,03; 161,48; -9,45; -498,25
TBF; 201891; 399; 99982,95; 1,25; 0,39; 0,10; -0,91; -1,45; -1,59; -5,39; 161,93; -8,70; -499,00
TBF; 202396; 400; 99978,48; 1,25; 0,40; 0,10; -0,91; -2,40; -3,88; -5,21; 162,68; -8,85; -498,25
TBF; 202900; 401; 99976,11; 1,25; 0,39; 0,10; -0,91; -0,73; 4,00; 5,34; 161,18; -11,55; -499,15
TBF; 203405; 402; 99981,44; 1,25; 0,40; 0,10; -0,90; -3,22; -1,40; -6,82; 162,83; -9,30; -498,70
TBF; 203909; 403; 99981,61; 1,12; 0,39; 0,10; -0,91; -2,76; -2,37; -5,73; 162,38; -8,85; -498,55
TBF; 204414; 404; 99977,55; 1,25; 0,39; 0,10; -0,91; 0,08; -1,66; 5,34; 161,78; -9,45; -499,75
TBF; 204918; 405; 99977,46; 1,25; 0,39; 0,10; -0,91; 0,26; -0,06; 3,39; 161,93; -9,60; -498,40
TBF; 205423; 406; 99978,60; 1,25; 0,39; 0,10; -0,91; -2,49; -2,02; -5,39; 162,53; -9,00; -498,70
TBF; 205927; 407; 99980,94; 1,25; 0,39; 0,10; -0,91; -0,89; -0,15; 4,24; 161,93; -10,20; -498,40
TBF; 206432; 408; 99975,60; 1,12; 0,40; 0,10; -0,91; 1,39; 2,14; 2,46; 162,98; -10,05; -499,15
TBF; 206936; 409; 99975,92; 1,12; 0,39; 0,11; -0,91; -3,83; 1,71; -3,42; 162,38; -8,85; -498,85
TBF; 207441; 410; 99976,46; 1,12; 0,39; 0,10; -0,91; -2,06; 0,18; 3,65; 161,63; -9,90; -497,80
TBF; 207945; 411; 99976,96; 1,12; 0,39; 0,10; -0,91; -0,26; -0,85; -0,02; 162,23; -8,40; -498,10
TBF; 208450; 412; 99978,00; 1,12; 0,39; 0,11; -0,91; -1,62; -2,56; -1,30; 161,48; -9,45; -498,55
TBF; 208954; 413; 99977,21; 1,12; 0,40; 0,10; -0,91; -2,49; -1,76; 3,98; 162,23; -9,90; -499,00
TBF; 209459; 414; 99978,03; 1,12; 0,39; 0,10; -0,91; 0,34; 0,46; 0,49; 162,83; -10,20; -499,00
TBF; 209964; 415; 99974,89; 1,12; 0,39; 0,10; -0,91; 0,79; -2,20; -0,70; 161,93; -10,20; -499,00
TBF; 210468; 416; 99977,90; 1,12; 0,39; 0,11; -0,92; -2,32; -2,46; 0,06; 162,23; -9,00; -499,00
TBF; 210973; 417; 99973,22; 1,12; 0,39; 0,10; -0,91; 1,04; 1,44; 1,77; 162,38; -8,85; -499,15
TBF; 211477; 418; 99975,51; 1,12; 0,39; 0,10; -0,91; -0,90; -2,55; -1,56; 161,93; -9,30; -498,70
TBF; 211982; 419; 99979,91; 1,12; 0,39; 0,10; -0,91; -1,08; -0,26; -2,40; 163,13; -10,20; -499,00
TBF; 212486; 420; 99980,28; 1,12; 0,39; 0,10; -0,91; -0,20; 1,97; 3,98; 162,68; -10,05; -498,85
TBF; 212991; 421; 99978,23; 1,12; 0,39; 0,10; -0,90; -0,73; -0,08; -0,87; 161,48; -10,05; -498,55
TBF; 213495; 422; 99975,11; 1,12; 0,39; 0,10; -0,91; -1,83; 2,05; 8,75; 161,48; -9,75; -497,65
TBF; 214000; 423; 99977,27; 0,99; 0,40; 0,10; -0,91; 1,83; 0,99; 5,01; 162,23; -8,70; -498,10
TBF; 214504; 424; 99978,18; 0,99; 0,39; 0,11; -0,91; -1,71; 0,02; -0,70; 161,33; -9,30; -499,00
TBF; 215009; 425; 99974,94; 0,99; 0,39; 0,10; -0,90; -2,03; 0,38; 6,89; 160,88; -10,05; -498,25
TBF; 215513; 426; 99976,16; 0,99; 0,39; 0,10; -0,91; 1,28; 3,10; 1,18; 162,53; -8,10; -497,80
TBF; 216018; 427; 99976,00; 0,99; 0,39; 0,10; -0,91; -2,06; -1,77; -3,42; 162,23; -9,90; -499,00
TBF; 216522; 428; 99977,05; 0,99; 0,39; 0,10; -0,91; -0,73; 2,95; 6,53; 161,93; -9,60; -498,40
TBF; 217027; 429; 99977,77; 0,99; 0,39; 0,10; -0,90; 2,34; -2,29; -2,99; 162,08; -8,85; -498,55
TBF; 217531; 430; 99978,46; 0,99; 0,39; 0,10; -0,91; -1,74; -2,56; -5,13; 160,88; -8,85; -498,85
TBF; 218036; 431; 99974,63; 0,99; 0,39; 0,11; -0,91; -1,27; 0,55; 5,86; 161,93; -10,50; -497,50
TBF; 218541; 432; 99981,98; 0,99; 0,39; 0,10; -0,91; -0,23; 1,51; 0,84; 161,93; -9,60; -498,70
TBF; 219045; 433; 99978,79; 0,99; 0,39; 0,10; -0,91; -3,79; -0,61; -2,23; 161,93; -9,60; -499,00
TBF; 219550; 434; 99979,96; 0,99; 0,39; 0,11; -0,91; 0,24; 0,55; 6,96; 162,38; -10,05; -498,25
TBF; 220054; 435; 99976,31; 0,99; 0,39; 0,11; -0,91; 2,27; -0,96; 3,13; 161,18; -9,75; -498,85
TBF; 220559; 436; 99978,10; 0,99; 0,39; 0,11; -0,92; -3,04; -3,45; -9,13; 161,93; -9,30; -497,80
TBF; 221063; 437; 99979,75; 0,99; 0,39; 0,10; -0,91; 0,05; 2,67; 4,58; 163,43; -9,30; -499,30
TBF; 221568; 438; 99978,88; 0,99; 0,40; 0,10; -0,91; -1,98; -1,68; -5,63; 162,38; -9,15; -498,25
TBF; 222072; 439; 99975,76; 0,99; 0,39; 0,10; -0,92; 1,30; -0,70; -7,01; 160,73; -9,60; -497,80
TBF; 222577; 440; 99978,16; 0,99; 0,39; 0,10; -0,91; 1,19; 1,68; 1,01; 161,93; -8,70; -499,00
TBF; 223081; 441; 99979,79; 0,99; 0,39; 0,10; -0,91; -1,01; -0,79; -4,61; 161,18; -9,75; -498,55
TBF; 223586; 442; 99975,34; 0,99; 0,39; 0,11; -0,91; 0,24; -0,61; -3,25; 162,53; -9,90; -497,80
TBF; 224090; 443; 99977,74; 0,99; 0,39; 0,10; -0,91; 0,95; -0,26; 6,11; 162,38; -9,15; -498,85
TBF; 224595; 444; 99976,22; 0,99; 0,39; 0,10; -0,91; -2,27; -2,29; -3,42; 162,08; -9,45; -498,85
TBF; 225099; 445; 99978,54; 0,99; 0,39; 0,11; -0,91; -0,43; -0,44; -4,61; 161,93; -9,60; -499,00
TBF; 225604; 446; 99980,86; 0,99; 0,40; 0,10; -0,91; 0,41; 3,65; 5,34; 161,48; -10,05; -498,85
TBF; 226613; 448; 99976,79; 0,99; 0,40; 0,11; -0,91; 0,06; -1,68; -6,06; 162,08; -8,85; -498,25
TBF; 227118; 449; 99977,91; 0,99; 0,39; 0,10; -0,91; -0,23; 0,46; -2,75; 162,08; -9,45; -499,75
TBF; 227622; 450; 99978,66; 0,99; 0,39; 0,11; -0,91; -4,05; -0,43; -3,77; 161,78; -9,15; -498,25
TBF; 228127; 451; 99977,28; 0,99; 0,40; 0,10; -0,90; 1,31; 1,07; 2,37; 161,63; -8,70; -499,30
TBF; 228631; 452; 99975,63; 0,99; 0,40; 0,10; -0,91; -4,84; -0,96; -2,75; 162,38; -7,65; -497,35
TBF; 229136; 453; 99981,75; 0,99; 0,39; 0,11; -0,91; -1,30; -0,89; 5,77; 162,23; -8,70; -499,00
TBF; 229640; 454; 99978,11; 0,99; 0,40; 0,10; -0,92; 0,82; -3,01; 1,34; 161,33; -9,00; -498,40
TBF; 230145; 455; 99977,65; 1,12; 0,39; 0,10; -0,90; -0,32; -0,37; -1,97; 161,93; -8,70; -497,50
TBF; 230649; 456; 99972,60; 1,12; 0,39; 0,10; -0,91; 4,03; 3,47; 5,51; 161,93; -8,40; -499,00
TBF; 231154; 457; 99974,03; 1,12; 0,39; 0,10; -0,91; 2,63; -0,17; 2,27; 162,53; -8,70; -498,70
TBF; 231658; 458; 99975,18; 1,12; 0,39; 0,10; -0,91; 1,18; -0,53; -8,11; 161,63; -9,30; -498,70
TBF; 232163; 459; 99974,38; 1,12; 0,39; 0,10; -0,91; -0,21; 1,97; 5,69; 163,13; -9,60; -497,80
TBF; 232667; 460; 99975,74; 1,12; 0,39; 0,11; -0,90; -2,09; 1,33; -4,18; 162,98; -7,95; -498,85
TBF; 233172; 461; 99975,85; 1,12; 0,39; 0,11; -0,91; -2,46; 1,69; -5,63; 163,13; -10,50; -498,10
TBF; 233677; 462; 99976,71; 1,12; 0,39; 0,10; -0,91; -0,75; 1,25; 4,41; 160,13; -9,00; -498,70
